Id;Produto;Qte Vendida;Data;Loja; Preço Unitário ;Cor;Tamanho;Genero;;;;;;;;
1;Tênis;4;04/05/2021;São Paulo - SP;R$ 220,00;Azul;34;M;;;;;;;;
2;Sandália;5;17/05/2021;Salvador -BA;R$ 140,00;Vermelho;35;M;;;;;;;;
3;Chinelos;2;03/06/2021;Rio de Janeiro - RJ;R$ 144,00;Rosa;36;F;;;;;;;;
4;Moda Infantil;2;08/08/2021;Campinas - SP;R$ 210,00;Preto;22;M;;;;;;;;
5;Sapato Masculino;1;21/08/2021;Curitiba - PR;R$ 212,99;Branco;44;F;;;;;;;;
6;Sapato Feminino;1;01/11/2021;Cascavel - PR;R$ 199,99;Verde;36;M;;;;;;;;
7;Tênis;5;20/08/2021;Florianópolis - SC;R$ 510,99;Verde;40;F;;;;;;;;
8;Tênis;4;25/10/2021;Chapecó - SC;R$ 411,11;Azul;39;F;;;;;;;;
9;Moda Adulta;3;28/12/2021;Goiânia - GO;R$ 220,00;Vermelho;38;F;;;;;;;;
10;Moda Infantil;5;17/06/2021;Maringá - PR;R$ 140,00;Rosa;12;F;;;;;;;;
11;Moda Bebe;3;08/06/2021;Araçatuba - SP;R$ 144,00;Preto;1;M;;;;;;;;
12;Chinelos;2;06/08/2021;Belo Horizonte - MG;R$ 210,00;Branco;37;M;;;;;;;;
13;Botas;5;10/12/2021;São Paulo - SP;R$ 212,99;Verde;36;F;;;;;;;;
14;Tênis;2;08/12/2021;Salvador -BA;R$ 199,99;Verde;34;M;;;;;;;;
15;Sandália;4;24/03/2021;Rio de Janeiro - RJ;R$ 510,99;Azul;34;F;;;;;;;;
16;Chinelos;4;06/01/2021;Campinas - SP;R$ 411,11;Vermelho;35;M;;;;;;;;
17;Moda Infantil;5;30/07/2021;Curitiba - PR;R$ 220,00;Rosa;36;F;;;;;;;;
18;Sapato Masculino;2;02/08/2021;Cascavel - PR;R$ 140,00;Preto;22;F;;;;;;;;
