ID;UF;Região;Mês;Genero;Faixa etária;Nivel de graduação;Área de graduação;Empresa;Perfil;Curso;Tipo C H;Carga horária;Tipo de Curso;Turma;Status
MT001;PR;Sul;3;Masculino;40-49;Pós Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/17;Aprovado
MT002;MG;Sudeste;3;Feminino;30-39;NI;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/18;Não Iniciado
MT003;SP;Sudeste;3;Masculino;50-59;Pós Graduação;Administração;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/19;Aprovado
MT004;RN;Nordeste;3;Feminino;18-29;Pós Graduação;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/20;Reprovado
MT005;RN;Nordeste;3;Masculino;40-49;Pós Graduação;Administração;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/21;Não Iniciado
MT006;RS;Sul;3;Feminino;30-39;NI;Administração;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/22;Aprovado
MT007;SC;Sul;3;Masculino;50-59;Pós Graduação;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/23;Aprovado
MT008;PR;Sul;3;Feminino;18-29;Pós Graduação;Administração;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/24;Aprovado
MT009;MG;Sudeste;3;Masculino;40-49;NI;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/25;Não Iniciado
MT010;SP;Sudeste;2;Feminino;30-39;Graduação;Administração;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/26;Aprovado
MT011;BA;Nordeste;2;Masculino;50-59;Pós Graduação;Administração;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/27;Reprovado
MT012;PR;Sul;2;Feminino;18-29;NI;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/28;Não Iniciado
MT013;MG;Sudeste;2;Masculino;40-49;Graduação;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/29;Aprovado
MT014;SP;Sudeste;4;Feminino;30-39;Pós Graduação;Administração;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/30;Aprovado
MT015;RN;Nordeste;4;Masculino;50-59;NI;Administração;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/31;Aprovado
MT016;RN;Nordeste;4;Feminino;18-29;Graduação;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/32;Aprovado
MT017;RS;Sul;4;Masculino;40-49;Ens. Médio;NI;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/33;Aprovado
MT018;SC;Sul;4;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/34;Não Iniciado
MT019;PR;Sul;4;Masculino;50-59;Ens. Médio;Ciências Humas;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/35;Aprovado
MT020;MG;Sudeste;1;Feminino;18-29;NI;Ciências Humas;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/36;Reprovado
MT021;SP;Sudeste;1;Masculino;40-49;Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/37;Não Iniciado
MT022;BA;Nordeste;1;Feminino;30-39;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/38;Aprovado
MT023;PR;Sul;2;Masculino;50-59;Graduação;NI;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/39;Aprovado
MT024;MG;Sudeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/40;Aprovado
MT025;SP;Sudeste;2;Masculino;40-49;NI;NI;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/41;Não Iniciado
MT026;RN;Nordeste;3;Feminino;30-39;Pós Graduação;Ciências Extas;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/42;Aprovado
MT027;RN;Nordeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/43;Reprovado
MT028;RS;Sul;3;Feminino;18-29;NI;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/44;Não Iniciado
MT029;SC;Sul;3;Masculino;40-49;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/45;Aprovado
MT030;PR;Sul;3;Feminino;30-39;Pós Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/46;Aprovado
MT031;MG;Sudeste;3;Masculino;50-59;NI;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/47;Aprovado
MT032;SP;Sudeste;3;Feminino;18-29;Graduação;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/48;Não Iniciado
MT033;BA;Nordeste;3;Masculino;40-49;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/49;Aprovado
MT034;PR;Sul;2;Feminino;30-39;NI;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/50;Reprovado
MT035;MG;Sudeste;2;Masculino;50-59;Graduação;NI;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/51;Não Iniciado
MT036;SP;Sudeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/52;Aprovado
MT037;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT038;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT039;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT040;SC;Sul;2;Feminino;18-29;Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT041;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT042;MG;Sudeste;2;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT043;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Ciências Extas;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT044;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT045;PR;Sul;3;Masculino;40-49;Pós Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/17;Aprovado
MT046;MG;Sudeste;3;Feminino;30-39;NI;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/18;Não Iniciado
MT047;SP;Sudeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/19;Aprovado
MT048;RN;Nordeste;3;Feminino;18-29;Pós Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/20;Reprovado
MT049;RN;Nordeste;3;Masculino;40-49;Pós Graduação;NI;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/21;Não Iniciado
MT050;RS;Sul;3;Feminino;30-39;NI;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/22;Aprovado
